"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","1","blue","frc4638","frc8230","frc3748","63","10","53","2"
"2","11","blue","frc836","frc4638","frc2377","100","26","70","4"
"3","30","red","frc4638","frc6326","frc1123","51","12","39","1"
"4","37","blue","frc6504","frc7429","frc4638","75","18","57","2"
"5","45","red","frc2363","frc1885","frc4638","66","26","36","1"
"6","54","red","frc4242","frc4472","frc4638","56","12","40","3"
"7","63","blue","frc4638","frc620","frc1262","91","18","73","4"
"8","73","blue","frc2068","frc3274","frc4638","60","14","38","1"
"9","81","red","frc4638","frc122","frc4541","78","14","64","4"
"10","91","red","frc5804","frc4638","frc1895","91","26","65","2"
"11","101","blue","frc1629","frc4638","frc5724","76","34","42","4"
"12","111","red","frc6194","frc4638","frc384","65","18","47","1"
