"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","4","blue","frc5338","frc4472","frc614","63","18","37","3"
"2","15","red","frc6326","frc4472","frc3748","41","8","33","1"
"3","29","blue","frc1599","frc888","frc4472","59","22","37","0"
"4","36","blue","frc4472","frc2363","frc8622","96","26","66","4"
"5","45","blue","frc6802","frc1908","frc4472","92","34","58","4"
"6","54","red","frc4242","frc4472","frc4638","56","12","40","3"
"7","61","red","frc1610","frc8726","frc4472","74","14","56","1"
"8","71","blue","frc8230","frc5804","frc4472","80","22","58","1"
"9","82","red","frc4472","frc612","frc5587","60","20","40","1"
"10","93","blue","frc4472","frc1262","frc836","106","30","76","4"
"11","104","blue","frc4472","frc116","frc2068","78","14","60","4"
"12","119","red","frc5724","frc4472","frc6504","87","26","61","2"
