"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","6","blue","frc1123","frc4242","frc8592","70","20","50","1"
"2","13","red","frc2186","frc5549","frc8592","48","18","26","0"
"3","26","red","frc8592","frc1908","frc2537","70","16","50","4"
"4","38","blue","frc2421","frc8592","frc3748","72","14","50","3"
"5","47","blue","frc8230","frc8592","frc3274","57","20","37","1"
"6","54","blue","frc8592","frc4286","frc1086","46","16","26","1"
"7","70","red","frc8592","frc4099","frc422","91","18","69","2"
"8","77","red","frc614","frc8726","frc8592","50","18","28","0"
"9","86","red","frc449","frc8592","frc4821","62","10","48","1"
"10","96","blue","frc7429","frc2377","frc8592","58","14","44","1"
"11","103","red","frc8592","frc1111","frc6504","72","18","54","4"
"12","114","blue","frc2363","frc8592","frc1629","88","26","58","3"
