"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","10","red","frc3136","frc2421","frc3274","65","16","49","1"
"2","19","blue","frc7770","frc5338","frc2421","61","14","47","3"
"3","30","blue","frc6504","frc116","frc2421","81","26","55","4"
"4","38","blue","frc2421","frc8592","frc3748","72","14","50","3"
"5","49","blue","frc1731","frc2421","frc422","108","26","78","4"
"6","56","red","frc620","frc2421","frc2199","66","10","52","3"
"7","64","red","frc612","frc6194","frc2421","51","16","35","1"
"8","75","red","frc2421","frc1719","frc2914","53","16","37","1"
"9","82","blue","frc1895","frc384","frc2421","69","18","51","3"
"10","98","blue","frc2421","frc1599","frc1086","78","14","64","3"
"11","107","red","frc2421","frc888","frc1908","69","16","53","1"
"12","114","red","frc2068","frc2421","frc623","78","26","52","1"
