"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","9","red","frc6504","frc1727","frc1599","52","14","34","1"
"2","19","red","frc116","frc4541","frc1727","60","14","46","1"
"3","28","blue","frc5724","frc7770","frc1727","44","10","30","0"
"4","35","blue","frc2914","frc1727","frc401","81","30","51","3"
"5","44","red","frc1262","frc1727","frc6194","47","18","25","0"
"6","58","red","frc1727","frc1731","frc888","63","16","47","2"
"7","69","blue","frc1727","frc1111","frc3939","36","14","22","1"
"8","77","blue","frc1727","frc422","frc836","86","30","56","4"
"9","90","blue","frc1727","frc2068","frc6326","42","16","22","2"
"10","99","red","frc2537","frc1727","frc8230","38","8","30","1"
"11","109","red","frc686","frc122","frc1727","67","24","43","4"
"12","117","blue","frc1908","frc1123","frc1727","65","10","51","2"
