"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","6","blue","frc1123","frc4242","frc8592","70","20","50","1"
"2","16","red","frc4242","frc612","frc4099","79","26","53","2"
"3","23","blue","frc8726","frc623","frc4242","70","22","48","3"
"4","35","red","frc3136","frc2537","frc4242","80","22","58","2"
"5","46","blue","frc4242","frc8622","frc836","47","20","23","0"
"6","54","red","frc4242","frc4472","frc4638","56","12","40","3"
"7","62","blue","frc5587","frc4242","frc4286","62","26","36","3"
"8","72","blue","frc3748","frc6194","frc4242","21","4","17","0"
"9","81","blue","frc8230","frc5724","frc4242","58","14","44","2"
"10","92","red","frc384","frc4242","frc5338","75","24","51","2"
"11","104","red","frc1719","frc4242","frc5804","62","10","44","1"
"12","111","blue","frc4242","frc1885","frc1111","85","26","59","3"
