"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","5","blue","frc5724","frc1086","frc401","101","26","67","4"
"2","12","blue","frc2199","frc401","frc623","69","30","39","3"
"3","27","red","frc401","frc422","frc4541","86","24","62","4"
"4","35","blue","frc2914","frc1727","frc401","81","30","51","3"
"5","43","blue","frc4286","frc401","frc686","79","32","47","4"
"6","51","blue","frc5549","frc401","frc5338","59","30","25","3"
"7","61","blue","frc401","frc6504","frc4821","94","28","58","4"
"8","74","red","frc8622","frc401","frc116","44","16","28","0"
"9","88","red","frc401","frc7770","frc8726","63","12","51","3"
"10","96","red","frc401","frc2363","frc1719","98","30","60","3"
"11","110","red","frc3274","frc2537","frc401","64","28","36","3"
"12","117","red","frc1610","frc449","frc401","107","26","81","4"
