"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","4","blue","frc5338","frc4472","frc614","63","18","37","3"
"2","19","blue","frc7770","frc5338","frc2421","61","14","47","3"
"3","26","blue","frc8622","frc1086","frc5338","51","14","33","0"
"4","36","red","frc449","frc5338","frc686","62","20","42","2"
"5","43","red","frc5338","frc2914","frc1111","62","22","40","1"
"6","51","blue","frc5549","frc401","frc5338","59","30","25","3"
"7","64","blue","frc7429","frc5338","frc8230","82","30","48","4"
"8","73","red","frc122","frc5724","frc5338","87","26","61","4"
"9","83","red","frc5338","frc2199","frc1599","65","16","49","1"
"10","92","red","frc384","frc4242","frc5338","75","24","51","2"
"11","106","red","frc4099","frc5338","frc4286","83","26","57","4"
"12","120","blue","frc5338","frc2186","frc3939","55","14","37","1"
