"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","1","red","frc8726","frc836","frc2363","112","34","78","4"
"2","16","blue","frc614","frc888","frc2363","100","20","72","4"
"3","28","red","frc2363","frc2914","frc1895","64","22","42","2"
"4","36","blue","frc4472","frc2363","frc8622","96","26","66","4"
"5","45","red","frc2363","frc1885","frc4638","66","26","36","1"
"6","59","blue","frc4099","frc2363","frc7770","98","20","62","4"
"7","67","red","frc4541","frc2186","frc2363","89","28","49","3"
"8","80","blue","frc2377","frc2363","frc6326","92","34","54","3"
"9","87","red","frc1731","frc3136","frc2363","131","34","97","4"
"10","96","red","frc401","frc2363","frc1719","98","30","60","3"
"11","105","blue","frc2363","frc1610","frc620","116","38","70","4"
"12","114","blue","frc2363","frc8592","frc1629","88","26","58","3"
