"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","6","red","frc6326","frc1731","frc5549","77","18","59","4"
"2","15","blue","frc1111","frc1731","frc1262","68","16","48","3"
"3","22","red","frc1719","frc836","frc1731","85","26","59","4"
"4","37","red","frc1731","frc5804","frc7770","84","14","70","4"
"5","49","blue","frc1731","frc2421","frc422","108","26","78","4"
"6","58","red","frc1727","frc1731","frc888","63","16","47","2"
"7","66","red","frc5724","frc8622","frc1731","87","22","57","1"
"8","74","blue","frc4541","frc384","frc1731","115","22","85","4"
"9","87","red","frc1731","frc3136","frc2363","131","34","97","4"
"10","99","blue","frc2199","frc1731","frc4099","86","14","72","4"
"11","106","blue","frc8726","frc1895","frc1731","68","12","56","1"
"12","113","blue","frc1731","frc614","frc4286","75","24","43","3"
