"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","10","blue","frc2537","frc2914","frc384","66","30","28","2"
"2","17","blue","frc2537","frc1629","frc122","65","18","43","3"
"3","26","red","frc8592","frc1908","frc2537","70","16","50","4"
"4","35","red","frc3136","frc2537","frc4242","80","22","58","2"
"5","42","red","frc5587","frc8726","frc2537","67","26","41","3"
"6","52","blue","frc4541","frc2537","frc5804","54","8","46","1"
"7","65","blue","frc2537","frc888","frc3748","50","18","32","0"
"8","72","red","frc612","frc1610","frc2537","57","12","45","4"
"9","84","blue","frc1111","frc2537","frc836","106","34","72","4"
"10","99","red","frc2537","frc1727","frc8230","38","8","30","1"
"11","110","red","frc3274","frc2537","frc401","64","28","36","3"
"12","119","blue","frc4099","frc116","frc2537","88","26","54","4"
