"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","9","red","frc6504","frc1727","frc1599","52","14","34","1"
"2","20","red","frc620","frc6504","frc1123","77","12","45","4"
"3","30","blue","frc6504","frc116","frc2421","81","26","55","4"
"4","37","blue","frc6504","frc7429","frc4638","75","18","57","2"
"5","44","blue","frc5804","frc6504","frc3136","81","18","63","3"
"6","51","red","frc5587","frc6504","frc1262","52","28","24","0"
"7","61","blue","frc401","frc6504","frc4821","94","28","58","4"
"8","76","blue","frc6504","frc2199","frc6802","35","6","25","0"
"9","86","blue","frc1885","frc2914","frc6504","76","24","52","4"
"10","94","blue","frc614","frc1629","frc6504","59","20","35","1"
"11","103","red","frc8592","frc1111","frc6504","72","18","54","4"
"12","119","red","frc5724","frc4472","frc6504","87","26","61","2"
