"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","3","blue","frc1908","frc4099","frc2186","75","22","53","4"
"2","16","red","frc4242","frc612","frc4099","79","26","53","2"
"3","25","blue","frc4099","frc3136","frc4821","77","22","55","2"
"4","38","red","frc620","frc5724","frc4099","69","26","43","1"
"5","48","red","frc384","frc623","frc4099","86","26","60","3"
"6","59","blue","frc4099","frc2363","frc7770","98","20","62","4"
"7","70","red","frc8592","frc4099","frc422","91","18","69","2"
"8","78","red","frc1885","frc4099","frc1262","113","16","93","4"
"9","89","blue","frc7429","frc4099","frc1086","88","18","70","4"
"10","99","blue","frc2199","frc1731","frc4099","86","14","72","4"
"11","106","red","frc4099","frc5338","frc4286","83","26","57","4"
"12","119","blue","frc4099","frc116","frc2537","88","26","54","4"
