"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","2","blue","frc6194","frc686","frc1610","63","14","37","1"
"2","13","blue","frc5804","frc5587","frc6194","50","22","28","3"
"3","27","blue","frc449","frc3939","frc6194","68","14","54","2"
"4","34","red","frc6194","frc4541","frc2377","54","10","44","3"
"5","44","red","frc1262","frc1727","frc6194","47","18","25","0"
"6","56","blue","frc8622","frc1895","frc6194","31","6","25","0"
"7","64","red","frc612","frc6194","frc2421","51","16","35","1"
"8","72","blue","frc3748","frc6194","frc4242","21","4","17","0"
"9","85","blue","frc6802","frc6194","frc1719","31","8","23","0"
"10","93","red","frc122","frc6194","frc2914","53","18","35","0"
"11","101","red","frc6194","frc614","frc422","72","26","42","2"
"12","111","red","frc6194","frc4638","frc384","65","18","47","1"
