"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","8","red","frc1111","frc1629","frc620","93","22","71","4"
"2","15","blue","frc1111","frc1731","frc1262","68","16","48","3"
"3","22","blue","frc1111","frc2199","frc1610","79","22","53","2"
"4","31","red","frc5549","frc8230","frc1111","74","16","58","3"
"5","43","red","frc5338","frc2914","frc1111","62","22","40","1"
"6","52","red","frc4821","frc614","frc1111","67","18","49","4"
"7","69","blue","frc1727","frc1111","frc3939","36","14","22","1"
"8","76","red","frc623","frc1111","frc7429","107","20","87","4"
"9","84","blue","frc1111","frc2537","frc836","106","34","72","4"
"10","95","blue","frc1123","frc1111","frc5587","91","28","59","4"
"11","103","red","frc8592","frc1111","frc6504","72","18","54","4"
"12","111","blue","frc4242","frc1885","frc1111","85","26","59","3"
