"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","3","blue","frc1908","frc4099","frc2186","75","22","53","4"
"2","18","blue","frc449","frc1908","frc3136","99","22","73","4"
"3","26","red","frc8592","frc1908","frc2537","70","16","50","4"
"4","33","red","frc1086","frc384","frc1908","96","26","66","3"
"5","45","blue","frc6802","frc1908","frc4472","92","34","58","4"
"6","55","blue","frc1908","frc8230","frc1719","57","14","43","3"
"7","62","red","frc3274","frc1908","frc5804","59","14","41","1"
"8","71","red","frc1629","frc5587","frc1908","88","26","54","4"
"9","84","red","frc422","frc623","frc1908","90","26","64","2"
"10","98","red","frc1908","frc4286","frc6326","60","20","40","1"
"11","107","red","frc2421","frc888","frc1908","69","16","53","1"
"12","117","blue","frc1908","frc1123","frc1727","65","10","51","2"
