"","team","opr","auto_opr","teleop_opr","tele_gpc_opr","rp_opr"
"1","frc836",49.926376889998,17.7741241155716,30.7452853370265,0.356006688703509,2.05891250539442
"2","frc2363",45.8609862196325,14.8381298903383,27.3473157115927,0.323545809051665,1.63601146070159
"3","frc1731",39.6313463932534,7.65673055858657,31.0713094007787,0.193198850289124,1.8536168017292
"4","frc1885",36.5992763471385,8.02322192597796,27.0551296726585,0.219218048189777,1.71959113032931
"5","frc623",36.1274709533054,10.3948860211806,25.1520074793709,0.287728029305344,1.39132186603226
"6","frc3136",36.0482160162295,9.11849467016364,26.0877747148528,0.252952730477934,0.587623335948022
"7","frc4099",35.4399085084328,8.38890870397029,26.0647097948082,0.236707967289876,1.52636400170946
"8","frc1610",34.1973794520982,7.4301267236651,25.1332462244506,0.217271815639348,1.06526345291769
"9","frc401",34.0246064277567,13.8687158523196,20.3360543998546,0.407608413686329,1.83204773493292
"10","frc1629",33.5445679310513,10.8563282485766,22.2485525908043,0.323638935248507,1.44212450540453
"11","frc449",32.0793241308057,4.77861716002109,26.0879563937398,0.148962526159714,0.917610591805679
"12","frc422",31.7246533124183,8.5668381287061,23.1961765586848,0.270037249716853,0.907362564017015
"13","frc5724",30.9702500587733,8.94168460563806,20.8148561200744,0.288718514983545,0.889802431999675
"14","frc1908",30.5116792200102,7.46572115091661,21.9045019158409,0.244684046954074,1.45989948957855
"15","frc1111",30.251150994686,7.41452523705654,23.5702247461909,0.245098946428815,1.44608774800182
"16","frc1086",30.0039625909048,4.88258136891678,22.3144410327221,0.16273121772245,0.850516948300303
"17","frc4541",28.6371921709759,4.03818323109503,22.245427684069,0.141011842466447,1.35222917554279
"18","frc4472",28.1235250155501,7.10168718713576,21.2405657142905,0.252517676330015,1.00996104163189
"19","frc2421",27.6359910263193,6.32123357874436,22.0876130362323,0.228731930500494,1.15753279447011
"20","frc384",27.3862339425062,10.2971096921561,16.1465311229417,0.375995827457458,0.43544922101675
"21","frc122",27.1033360983766,6.89554697050454,20.2801061027352,0.254416908142816,1.31652162579689
"22","frc686",25.7691765459649,7.15632831858194,18.0187319471275,0.27770884746034,1.47325488149986
"23","frc620",25.5455529507144,3.89975687149135,19.5074194141274,0.152658933592678,0.906337777181788
"24","frc7429",25.3397085585744,6.31741678826983,19.5478018600179,0.249308975818199,0.943253970635166
"25","frc5804",25.0540205276905,5.21549100734363,19.6961849555338,0.208169822547216,0.91966020354233
"26","frc1262",24.4689269943107,6.02537270531269,18.2403141951517,0.246245890010365,0.144312715826452
"27","frc5587",23.9650696481395,12.0967415324449,10.8511035151536,0.50476554877795,0.878257931100187
"28","frc116",23.8029336726473,6.00345873606942,16.9443825977457,0.252215076453714,0.761284228820227
"29","frc4638",23.0041935651995,5.55106635261254,17.7496939455424,0.241306713790225,0.799277859657522
"30","frc2377",22.8004258041602,7.10598862826317,13.622567627924,0.31166034745573,0.648478552730738
"31","frc4821",22.4967798557685,6.21623402440227,15.5029993766527,0.276316613500058,1.04010638439935
"32","frc5338",22.1351449299194,8.54602607069606,12.6618665700194,0.386084035038084,0.835233466677649
"33","frc614",22.0501589466478,6.2014614741392,13.5301630038977,0.281243390995237,0.858277387137128
"34","frc1123",21.7672134159443,5.63413559116432,14.1922341075395,0.258835868583774,0.83917987321738
"35","frc6504",20.8914301205251,5.7953096762438,12.7752489016735,0.277401290520084,0.785970057424781
"36","frc1895",20.4705777230906,3.58999630204372,18.5705201114575,0.175373472630146,0.655295084836165
