"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","4","red","frc2377","frc2199","frc7770","49","16","29","1"
"2","11","blue","frc836","frc4638","frc2377","100","26","70","4"
"3","23","red","frc1262","frc2377","frc2186","68","20","44","1"
"4","34","red","frc6194","frc4541","frc2377","54","10","44","3"
"5","50","blue","frc1123","frc2377","frc612","39","8","31","0"
"6","58","blue","frc1885","frc2377","frc5724","83","18","57","3"
"7","65","red","frc2377","frc2068","frc1895","52","10","42","2"
"8","80","blue","frc2377","frc2363","frc6326","92","34","54","3"
"9","89","red","frc2377","frc5549","frc116","76","22","46","1"
"10","96","blue","frc7429","frc2377","frc8592","58","14","44","1"
"11","103","blue","frc384","frc6802","frc2377","68","30","30","0"
"12","115","blue","frc888","frc5804","frc2377","79","22","53","4"
