"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","5","red","frc5804","frc6802","frc8622","45","14","27","0"
"2","13","blue","frc5804","frc5587","frc6194","50","22","28","3"
"3","24","red","frc384","frc5804","frc122","67","18","49","3"
"4","37","red","frc1731","frc5804","frc7770","84","14","70","4"
"5","44","blue","frc5804","frc6504","frc3136","81","18","63","3"
"6","52","blue","frc4541","frc2537","frc5804","54","8","46","1"
"7","62","red","frc3274","frc1908","frc5804","59","14","41","1"
"8","71","blue","frc8230","frc5804","frc4472","80","22","58","1"
"9","83","blue","frc1610","frc3748","frc5804","68","14","50","3"
"10","91","red","frc5804","frc4638","frc1895","91","26","65","2"
"11","104","red","frc1719","frc4242","frc5804","62","10","44","1"
"12","115","blue","frc888","frc5804","frc2377","79","22","53","4"
