"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","10","red","frc3136","frc2421","frc3274","65","16","49","1"
"2","20","blue","frc422","frc3274","frc2914","58","20","38","1"
"3","29","red","frc3274","frc620","frc7429","73","14","55","3"
"4","40","blue","frc1599","frc3274","frc623","65","18","47","3"
"5","47","blue","frc8230","frc8592","frc3274","57","20","37","1"
"6","55","red","frc6326","frc686","frc3274","45","16","29","1"
"7","62","red","frc3274","frc1908","frc5804","59","14","41","1"
"8","73","blue","frc2068","frc3274","frc4638","60","14","38","1"
"9","87","blue","frc3274","frc3939","frc1629","75","26","49","2"
"10","100","blue","frc4821","frc3274","frc5549","53","16","29","1"
"11","110","red","frc3274","frc2537","frc401","64","28","36","3"
"12","118","red","frc7770","frc612","frc3274","42","10","32","1"
