"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","9","red","frc6504","frc1727","frc1599","52","14","34","1"
"2","17","red","frc4286","frc384","frc1599","51","16","35","1"
"3","29","blue","frc1599","frc888","frc4472","59","22","37","0"
"4","40","blue","frc1599","frc3274","frc623","65","18","47","3"
"5","50","red","frc3939","frc1599","frc5724","68","18","50","4"
"6","59","red","frc122","frc422","frc1599","82","28","50","2"
"7","68","blue","frc2914","frc1599","frc449","75","26","49","4"
"8","75","blue","frc1599","frc1895","frc4821","78","26","52","4"
"9","83","red","frc5338","frc2199","frc1599","65","16","49","1"
"10","98","blue","frc2421","frc1599","frc1086","78","14","64","3"
"11","108","red","frc1123","frc1599","frc8230","53","22","31","2"
"12","116","blue","frc1599","frc1262","frc5549","48","18","30","0"
