"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","10","red","frc3136","frc2421","frc3274","65","16","49","1"
"2","18","blue","frc449","frc1908","frc3136","99","22","73","4"
"3","25","blue","frc4099","frc3136","frc4821","77","22","55","2"
"4","35","red","frc3136","frc2537","frc4242","80","22","58","2"
"5","44","blue","frc5804","frc6504","frc3136","81","18","63","3"
"6","60","blue","frc3136","frc2186","frc116","74","14","60","2"
"7","70","blue","frc686","frc3136","frc1885","107","24","79","4"
"8","80","red","frc3136","frc5549","frc620","61","18","43","1"
"9","87","red","frc1731","frc3136","frc2363","131","34","97","4"
"10","95","red","frc8726","frc3136","frc888","75","18","37","1"
"11","105","red","frc1086","frc1262","frc3136","97","26","63","1"
"12","112","blue","frc422","frc1719","frc3136","86","24","62","2"
