"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","6","red","frc6326","frc1731","frc5549","77","18","59","4"
"2","13","red","frc2186","frc5549","frc8592","48","18","26","0"
"3","21","blue","frc2068","frc5587","frc5549","55","14","33","1"
"4","31","red","frc5549","frc8230","frc1111","74","16","58","3"
"5","42","blue","frc5549","frc4541","frc1719","46","12","34","1"
"6","51","blue","frc5549","frc401","frc5338","59","30","25","3"
"7","63","red","frc1629","frc5549","frc2199","76","18","58","1"
"8","80","red","frc3136","frc5549","frc620","61","18","43","1"
"9","89","red","frc2377","frc5549","frc116","76","22","46","1"
"10","100","blue","frc4821","frc3274","frc5549","53","16","29","1"
"11","107","blue","frc5549","frc7770","frc623","74","16","58","3"
"12","116","blue","frc1599","frc1262","frc5549","48","18","30","0"
