"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","4","red","frc2377","frc2199","frc7770","49","16","29","1"
"2","19","blue","frc7770","frc5338","frc2421","61","14","47","3"
"3","28","blue","frc5724","frc7770","frc1727","44","10","30","0"
"4","37","red","frc1731","frc5804","frc7770","84","14","70","4"
"5","46","red","frc7770","frc7429","frc1629","65","28","37","3"
"6","59","blue","frc4099","frc2363","frc7770","98","20","62","4"
"7","69","red","frc1086","frc836","frc7770","104","26","70","4"
"8","78","blue","frc7770","frc1123","frc2186","39","14","25","1"
"9","88","red","frc401","frc7770","frc8726","63","12","51","3"
"10","100","red","frc8622","frc7770","frc449","53","12","33","1"
"11","107","blue","frc5549","frc7770","frc623","74","16","58","3"
"12","118","red","frc7770","frc612","frc3274","42","10","32","1"
