"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","1","blue","frc4638","frc8230","frc3748","63","10","53","2"
"2","12","red","frc1086","frc2068","frc8230","50","16","30","0"
"3","21","red","frc8230","frc6802","frc1885","59","12","47","2"
"4","31","red","frc5549","frc8230","frc1111","74","16","58","3"
"5","47","blue","frc8230","frc8592","frc3274","57","20","37","1"
"6","55","blue","frc1908","frc8230","frc1719","57","14","43","3"
"7","64","blue","frc7429","frc5338","frc8230","82","30","48","4"
"8","71","blue","frc8230","frc5804","frc4472","80","22","58","1"
"9","81","blue","frc8230","frc5724","frc4242","58","14","44","2"
"10","99","red","frc2537","frc1727","frc8230","38","8","30","1"
"11","108","red","frc1123","frc1599","frc8230","53","22","31","2"
"12","115","red","frc2914","frc8230","frc8622","58","22","32","1"
