"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","5","red","frc5804","frc6802","frc8622","45","14","27","0"
"2","14","blue","frc1885","frc8622","frc8726","86","22","56","3"
"3","26","blue","frc8622","frc1086","frc5338","51","14","33","0"
"4","36","blue","frc4472","frc2363","frc8622","96","26","66","4"
"5","46","blue","frc4242","frc8622","frc836","47","20","23","0"
"6","56","blue","frc8622","frc1895","frc6194","31","6","25","0"
"7","66","red","frc5724","frc8622","frc1731","87","22","57","1"
"8","74","red","frc8622","frc401","frc116","44","16","28","0"
"9","90","red","frc2186","frc4286","frc8622","39","12","27","0"
"10","100","red","frc8622","frc7770","frc449","53","12","33","1"
"11","108","blue","frc4821","frc8622","frc2199","53","12","41","2"
"12","115","red","frc2914","frc8230","frc8622","58","22","32","1"
