"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","2","red","frc623","frc4821","frc5587","89","26","55","3"
"2","13","blue","frc5804","frc5587","frc6194","50","22","28","3"
"3","21","blue","frc2068","frc5587","frc5549","55","14","33","1"
"4","32","red","frc1719","frc5587","frc2199","50","16","34","1"
"5","42","red","frc5587","frc8726","frc2537","67","26","41","3"
"6","51","red","frc5587","frc6504","frc1262","52","28","24","0"
"7","62","blue","frc5587","frc4242","frc4286","62","26","36","3"
"8","71","red","frc1629","frc5587","frc1908","88","26","54","4"
"9","82","red","frc4472","frc612","frc5587","60","20","40","1"
"10","95","blue","frc1123","frc1111","frc5587","91","28","59","4"
"11","102","blue","frc4541","frc1885","frc5587","92","34","54","4"
"12","113","red","frc5587","frc620","frc6802","60","14","46","1"
