"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","1","blue","frc4638","frc8230","frc3748","63","10","53","2"
"2","15","red","frc6326","frc4472","frc3748","41","8","33","1"
"3","24","blue","frc3748","frc686","frc614","59","10","41","2"
"4","38","blue","frc2421","frc8592","frc3748","72","14","50","3"
"5","47","red","frc1895","frc3748","frc116","63","10","49","4"
"6","57","blue","frc612","frc3748","frc384","56","16","40","1"
"7","65","blue","frc2537","frc888","frc3748","50","18","32","0"
"8","72","blue","frc3748","frc6194","frc4242","21","4","17","0"
"9","83","blue","frc1610","frc3748","frc5804","68","14","50","3"
"10","94","red","frc3748","frc1885","frc3939","69","20","41","2"
"11","102","red","frc836","frc3748","frc2914","80","36","28","1"
"12","112","red","frc3748","frc1086","frc4541","87","16","59","3"
