"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","4","blue","frc5338","frc4472","frc614","63","18","37","3"
"2","16","blue","frc614","frc888","frc2363","100","20","72","4"
"3","24","blue","frc3748","frc686","frc614","59","10","41","2"
"4","31","blue","frc2186","frc614","frc1610","63","16","47","2"
"5","41","blue","frc2068","frc122","frc614","73","18","51","2"
"6","52","red","frc4821","frc614","frc1111","67","18","49","4"
"7","68","red","frc6802","frc6326","frc614","66","22","40","1"
"8","77","red","frc614","frc8726","frc8592","50","18","28","0"
"9","85","red","frc614","frc1262","frc1123","78","18","60","4"
"10","94","blue","frc614","frc1629","frc6504","59","20","35","1"
"11","101","red","frc6194","frc614","frc422","72","26","42","2"
"12","113","blue","frc1731","frc614","frc4286","75","24","43","3"
