"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","6","red","frc6326","frc1731","frc5549","77","18","59","4"
"2","15","red","frc6326","frc4472","frc3748","41","8","33","1"
"3","30","red","frc4638","frc6326","frc1123","51","12","39","1"
"4","39","blue","frc836","frc6326","frc1629","105","30","75","4"
"5","48","blue","frc6326","frc449","frc620","73","6","67","1"
"6","55","red","frc6326","frc686","frc3274","45","16","29","1"
"7","68","red","frc6802","frc6326","frc614","66","22","40","1"
"8","80","blue","frc2377","frc2363","frc6326","92","34","54","3"
"9","90","blue","frc1727","frc2068","frc6326","42","16","22","2"
"10","98","red","frc1908","frc4286","frc6326","60","20","40","1"
"11","109","blue","frc3939","frc6326","frc7429","32","6","26","0"
"12","118","blue","frc2199","frc8726","frc6326","59","12","43","3"
