"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","7","blue","frc1262","frc1895","frc4286","48","12","36","0"
"2","17","red","frc4286","frc384","frc1599","51","16","35","1"
"3","25","red","frc4286","frc1629","frc612","81","14","63","4"
"4","34","blue","frc4286","frc2068","frc6802","39","14","25","0"
"5","43","blue","frc4286","frc401","frc686","79","32","47","4"
"6","54","blue","frc8592","frc4286","frc1086","46","16","26","1"
"7","62","blue","frc5587","frc4242","frc4286","62","26","36","3"
"8","79","red","frc888","frc4286","frc449","71","14","45","1"
"9","90","red","frc2186","frc4286","frc8622","39","12","27","0"
"10","98","red","frc1908","frc4286","frc6326","60","20","40","1"
"11","106","red","frc4099","frc5338","frc4286","83","26","57","4"
"12","113","blue","frc1731","frc614","frc4286","75","24","43","3"
