"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","5","blue","frc5724","frc1086","frc401","101","26","67","4"
"2","18","red","frc1895","frc5724","frc7429","92","18","74","2"
"3","28","blue","frc5724","frc7770","frc1727","44","10","30","0"
"4","38","red","frc620","frc5724","frc4099","69","26","43","1"
"5","50","red","frc3939","frc1599","frc5724","68","18","50","4"
"6","58","blue","frc1885","frc2377","frc5724","83","18","57","3"
"7","66","red","frc5724","frc8622","frc1731","87","22","57","1"
"8","73","red","frc122","frc5724","frc5338","87","26","61","4"
"9","81","blue","frc8230","frc5724","frc4242","58","14","44","2"
"10","92","blue","frc422","frc6802","frc5724","93","22","71","4"
"11","101","blue","frc1629","frc4638","frc5724","76","34","42","4"
"12","119","red","frc5724","frc4472","frc6504","87","26","61","2"
