"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","5","red","frc5804","frc6802","frc8622","45","14","27","0"
"2","14","red","frc6802","frc3939","frc1610","79","18","61","2"
"3","21","red","frc8230","frc6802","frc1885","59","12","47","2"
"4","34","blue","frc4286","frc2068","frc6802","39","14","25","0"
"5","45","blue","frc6802","frc1908","frc4472","92","34","58","4"
"6","60","red","frc836","frc449","frc6802","119","38","77","4"
"7","68","red","frc6802","frc6326","frc614","66","22","40","1"
"8","76","blue","frc6504","frc2199","frc6802","35","6","25","0"
"9","85","blue","frc6802","frc6194","frc1719","31","8","23","0"
"10","92","blue","frc422","frc6802","frc5724","93","22","71","4"
"11","103","blue","frc384","frc6802","frc2377","68","30","30","0"
"12","113","red","frc5587","frc620","frc6802","60","14","46","1"
