"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","9","blue","frc888","frc4541","frc612","55","8","39","3"
"2","16","blue","frc614","frc888","frc2363","100","20","72","4"
"3","29","blue","frc1599","frc888","frc4472","59","22","37","0"
"4","39","red","frc888","frc1123","frc1895","65","20","41","1"
"5","49","red","frc2199","frc2186","frc888","32","6","26","0"
"6","58","red","frc1727","frc1731","frc888","63","16","47","2"
"7","65","blue","frc2537","frc888","frc3748","50","18","32","0"
"8","79","red","frc888","frc4286","frc449","71","14","45","1"
"9","88","blue","frc686","frc620","frc888","57","10","47","2"
"10","95","red","frc8726","frc3136","frc888","75","18","37","1"
"11","107","red","frc2421","frc888","frc1908","69","16","53","1"
"12","115","blue","frc888","frc5804","frc2377","79","22","53","4"
