"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","9","blue","frc888","frc4541","frc612","55","8","39","3"
"2","16","red","frc4242","frc612","frc4099","79","26","53","2"
"3","25","red","frc4286","frc1629","frc612","81","14","63","4"
"4","32","blue","frc122","frc612","frc1885","86","14","72","4"
"5","50","blue","frc1123","frc2377","frc612","39","8","31","0"
"6","57","blue","frc612","frc3748","frc384","56","16","40","1"
"7","64","red","frc612","frc6194","frc2421","51","16","35","1"
"8","72","red","frc612","frc1610","frc2537","57","12","45","4"
"9","82","red","frc4472","frc612","frc5587","60","20","40","1"
"10","97","blue","frc620","frc116","frc612","73","20","45","1"
"11","110","blue","frc612","frc449","frc2186","45","12","33","1"
"12","118","red","frc7770","frc612","frc3274","42","10","32","1"
