"","match_number","alliance","team1","team2","team3","scores","auto_p","tele_p","rp"
"1","4","red","frc2377","frc2199","frc7770","49","16","29","1"
"2","12","blue","frc2199","frc401","frc623","69","30","39","3"
"3","22","blue","frc1111","frc2199","frc1610","79","22","53","2"
"4","32","red","frc1719","frc5587","frc2199","50","16","34","1"
"5","49","red","frc2199","frc2186","frc888","32","6","26","0"
"6","56","red","frc620","frc2421","frc2199","66","10","52","3"
"7","63","red","frc1629","frc5549","frc2199","76","18","58","1"
"8","76","blue","frc6504","frc2199","frc6802","35","6","25","0"
"9","83","red","frc5338","frc2199","frc1599","65","16","49","1"
"10","99","blue","frc2199","frc1731","frc4099","86","14","72","4"
"11","108","blue","frc4821","frc8622","frc2199","53","12","41","2"
"12","118","blue","frc2199","frc8726","frc6326","59","12","43","3"
