"","team","opr","auto_opr","teleop_opr","auto_opr_ratio","auto_gpc_opr","tele_gpc_opr","rp_opr"
"1","frc4336",58.5194420802313,14.0961266562617,32.8486435999579,0.240879375386656,0.919624696247125,6.79780448087227,1.92995552344948
"2","frc3039",56.7629477775241,17.229590469947,27.1889942093325,0.303535865287976,1.2934408108311,6.73435085426294,1.8026473057316
"3","frc118",51.2488726947908,17.5591339901655,23.5595854152934,0.342624785031619,1.23990802690059,6.09457475062217,1.72201495281352
"4","frc2992",37.4678050531126,10.2300704611502,19.8206737580348,0.273036289332896,0.653072901526325,4.23591569092523,1.47730804130778
"5","frc8808",34.4474667638945,9.06901976848578,18.5199018200552,0.263271021658734,0.84135588490367,4.77320161647794,0.892915798077843
"6","frc1421",33.8079277384716,17.040781845568,13.7616478314287,0.504046919923357,0.901326362187791,3.43409278613802,1.08097741439343
"7","frc3616",27.9855575367515,6.15066606360067,15.3525297368477,0.219780008153256,0.911295853874604,4.09888573231957,0.408674545852366
"8","frc2183",27.8563952528651,5.48202110222595,20.1219789232755,0.196795782529044,0.706853058103087,4.40615702792659,0.708937329151098
"9","frc4087",27.3847598226427,5.47231170469265,16.9975578880522,0.199830553203098,0.793949137229449,3.35168283640614,0.56218709306225
"10","frc3959",26.4694112890942,8.43904714839472,15.2539307383318,0.318822623451083,0.638108150841476,3.6899696658382,0.576644357934814
"11","frc364",25.1066473793679,7.79237720805664,15.1736008984516,0.310371077838941,0.35497188786508,3.56874622774108,-0.052817835413979
"12","frc7428",24.7083792756588,7.0635701740879,11.6921177523358,0.285877519333958,0.902093907632882,3.89099066544429,0.599365756473673
"13","frc456",24.2061528294608,4.31284597083642,15.1567975746463,0.178171475707918,0.183876112973002,2.77277187602618,0.56839199704378
"14","frc3468",20.6801565336745,2.40589296762432,15.2565843615692,0.116338237754956,0.00592831453382259,3.14252239033971,0.618830524770192
"15","frc1912",20.0366889308225,6.72657516159753,13.0222424850309,0.335712910692046,1.05457263097483,2.45269824786171,0.401505586703511
"16","frc4107",19.0445153313305,5.42416319589038,14.1229489550862,0.284814976990619,0.66199742354794,2.29378440716725,0.12539637514313
"17","frc7094",18.7510587575348,9.2798450286311,7.58860789388914,0.494897122803913,1.17485880832989,3.02562421321624,0.0345466816431064
"18","frc1927",16.8972247471609,7.15063647901676,8.71313142039222,0.423184078214868,0.813603975923913,2.19211454286486,0.496245588055168
"19","frc538",16.7225224661434,1.58885709224476,12.4399307111574,0.0950130038970844,0.471096130018717,3.57177305283424,0.338492803971586
"20","frc3824",16.4692974486748,2.65552544881099,10.1632814364963,0.161240967144271,0.0127480170115724,0.546333349494565,0.314762999448432
"21","frc7255",15.3334546077905,1.74390663054107,11.5205591875281,0.113732141591565,0.0151894435042353,3.15555346916976,0.38772299997884
"22","frc2221",12.8837854077373,2.14389088763956,8.26388725515391,0.166402250564656,0.181818253279703,1.35426506063959,0.275261000643492
"23","frc590",12.0575337426206,4.23228069432946,8.6531156396744,0.351007161553221,0.604818307296254,0.877909300145847,0.276916800951403
"24","frc8044",11.2572297193607,-0.211694016338357,10.0345887004284,-0.0188051609157692,-0.0290141052569043,1.53121211733585,-0.238141529489881
"25","frc7474",10.6481305394685,2.16834978162849,7.54690274166253,0.203636664068989,0.0318320914606246,0.528195767654861,-0.116893538709938
"26","frc3753",8.03010507742496,1.73156000298158,7.15856285791899,0.215633542311858,-0.0863834821675612,1.48248192745326,-0.128168886480863
"27","frc5045",5.54738537136511,1.92235869021205,4.63382014831088,0.346534188905465,0.557505363945867,0.63778680304575,-0.0759874664087936
"28","frc8732",4.9673418716925,1.88190504178649,3.05436422988486,0.378855550996187,-0.120275176333816,0.8628275591125,-0.215723964340812
"29","frc2190",4.5119727954007,-1.41469799323476,5.77792154069334,-0.313543112377991,-0.0481014719180629,1.09301083520759,-0.270222720472208
