"","team","opr","auto_opr","auto_game_piece_opr","auto_dock","auto_level","teleop_opr","teleop_game_piece_opr","tele_dock","tele_balance","auto_teleop_opr_ratio","rpcr"
"1","frc100",35.7030156851188,12.2568548727395,1.30547167710663,"0.7","0.7",16.9674370590083,5.15496988931932,"0.8","0.5",0.343300268549814,"-0.565226659795893"
"2","frc1038",41.1597515847907,12.0496673902206,1.51177841964456,"0.2","0.1",23.6639784914356,5.27667354696878,"0.6","0.5",0.292753647101048,"0.49590925432232"
"3","frc1138",53.945934339459,9.88176559109857,1.16711965504003,"0.4","0.4",32.3815537345676,6.92073802274756,"0.8","0.7",0.183179060889312,"1.17879150645654"
"4","frc125",58.7237580339125,17.5937202678883,2.07971568010086,"0","0",29.018920220199,7.91502471047997,"0.8","0.7",0.299601402514602,"1.21200396808782"
"5","frc1325",63.3855673242211,19.718437953429,2.38402539566149,"0","0",31.5679508424309,8.93342409043552,"0.4","0.4",0.311087188863799,"1.51631688519397"
"6","frc144",35.0860267280884,10.9899567404418,1.33749905119133,"0.7","0.7",21.4013827876136,5.77205958627511,"0.7","0.5",0.313228876715292,"0.552370611908907"
"7","frc1477",58.6884153162417,13.6691518736709,1.56264837848522,"0.3","0.3",28.5321520158286,8.32444057858818,"0.3","0.2",0.232910563354197,"0.689470711015337"
"8","frc1511",43.7705265955426,10.5383536988406,1.03609404002684,"0.6","0.6",24.4979870087464,6.26911191204786,"0.8","0.6",0.240763694625364,"0.633628355104379"
"9","frc1533",52.5311754993251,14.0494921092705,1.63183974512187,"0.3","0.3",29.0788964100692,6.53059762863828,"1","1",0.267450556278737,"0.890210467765031"
"10","frc1710",42.8985309290436,11.6773253602727,1.28258105450093,"0.4","0.4",19.12795238468,6.67818054695999,"0.6","0.4",0.272208047860371,"0.00460803060818425"
"11","frc1731",75.0222369475878,19.1823231107531,2.25991300750805,"0","0",37.9370726440405,11.0442967434987,"0.3","0.3",0.255688498386876,"1.69356409506918"
"12","frc1781",55.5963053378158,14.8760967572419,1.32655488430052,"0.1","0",30.4348591070507,6.22409298206113,"0.6","0.5",0.267573477533288,"1.53612852879284"
