"","team","opr","auto_opr","auto_game_piece_opr","auto_dock","auto_level","teleop_opr","teleop_game_piece_opr","tele_dock","tele_balance","auto_teleop_opr_ratio","rpcr"
"1","frc1018",28.5497101940167,4.40112025318957,0.599334284393622,"0","0",18.789430511216,4.59845067195768,"0.75","0.666666666666667",0.154156389794525,"0.135868175386811"
"2","frc1024",40.6923129382596,12.2091743233639,0.583984958277758,"0.75","0.5",22.4139492761071,5.36580685406425,"0.666666666666667","0.5",0.300036381364909,"1.16952557230965"
"3","frc135",27.043801085453,7.1195993250161,1.10201755910476,"0","0",14.8101415058727,4.03729938865551,"0.333333333333333","0.166666666666667",0.263261784189271,"0.569106179971508"
"4","frc1501",40.4292359137807,7.14950202755434,0.601821305161572,"0.5","0.0833333333333333",25.3332519342092,4.65400781820532,"0.75","0.583333333333333",0.176839899789384,"1.17398702184103"
"5","frc1555",14.1817824520686,4.72541613285806,0.729318318935934,"0","0",10.0515267781714,1.9845683421914,"0.333333333333333","0.333333333333333",0.333203259098704,"0.285414663477389"
"6","frc1747",5.61710832429675,-1.67428348273848,-0.224258129855938,"0","0",6.77578590123429,0.293329520662413,"0.333333333333333","0.25",-0.298068576583503,"-0.193681271887597"
"7","frc2197",24.5483455385503,9.73266931204036,0.631021875670872,"0.666666666666667","0.416666666666667",12.3427878917168,1.79464712305678,"0.833333333333333","0.75",0.396469460508299,"0.493406269650229"
"8","frc2867",16.7495429642872,5.0610963334307,0.942008103297295,"0","0",11.940873398904,3.32787531755412,"0.666666666666667","0.5",0.30216324972101,"0.185341598076536"
"9","frc2909",15.0952457574778,0.882572061635665,0.153876210456649,"0","0",9.54703745069141,2.84631313443297,"0.333333333333333","0.166666666666667",0.0584668892322247,"0.497653330925701"
"10","frc3147",23.7903797182694,7.29762135038821,0.84546930943437,"0","0",14.0275391343922,3.11754329248594,"0.666666666666667","0.5",0.306746736992354,"0.634006487276019"
"11","frc3176",53.4369980711692,13.2288273351466,1.06173054865871,"0.416666666666667","0.333333333333333",26.4563726368359,6.37046406789095,"0.25","0.25",0.247559328043241,"1.41843950410947"
"12","frc328",24.0050233226682,3.77134735286638,0.763613940946337,"0.0833333333333333","0",17.2475443722611,4.16681179356474,"0.75","0.75",0.15710658982385,"0.311849106995557"
"13","frc3487",41.4384808293688,14.3402545999411,0.981067078006518,"0.416666666666667","0.416666666666667",22.0002669031371,4.17984131673874,"0.833333333333333","0.666666666666667",0.346061301305664,"1.30233158550753"
"14","frc3865",4.53474816911395,-0.893496491342123,-0.012247711457801,"0","0",4.99115713004585,0.833116620056511,"0.666666666666667","0.5",-0.19703332093008,"0.0657166724403506"
"15","frc3936",21.4658457313303,8.20621277292881,0.823469006510933,"0","0",11.1968147543946,3.16892013675693,"0.166666666666667","0.0833333333333333",0.382291612249476,"0.132998202611653"
"16","frc3940",50.703666801229,13.0794922213716,0.972064772499338,"0.75","0.75",30.4693823774426,5.66756501514426,"0.666666666666667","0.666666666666667",0.257959493790587,"1.64635644215136"
"17","frc45",31.7879049837274,5.99523628208654,0.492834200760231,"0","0",22.8114675640886,4.66877787545416,"0.916666666666667","0.833333333333333",0.188601176615936,"0.667157443841423"
"18","frc461",44.8635073289731,9.85885160996829,1.14270633243472,"0.0833333333333333","0",26.0419537069863,5.89117232709702,"1","0.583333333333333",0.219752137024771,"0.547579832472975"
"19","frc4926",16.658053501584,8.59232249861991,0.234878902787457,"0.5","0.333333333333333",7.69063116024671,1.57415036181172,"0.25","0.25",0.515805913206058,"0.0400067772002888"
"20","frc4982",13.0739131381619,0.944141223766828,0.00550298159382356,"0","0",11.0664846213914,2.46860107314525,"0.333333333333333","0.25",0.0722156567654513,"0.141907911295873"
