"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","2","blue","frc8080","frc343","frc6340","141","6","24","None","Level","60","82","Docked","Level","4"
"2","10","blue","frc8080","frc4188","frc6829","121","16","31","None","Level","51","65","Park","NotLevel","3"
"3","22","blue","frc8080","frc8575","frc6919","91","18","36","None","Level","30","40","Park","Level","2"
"4","29","red","frc8080","frc8736","frc4189","122","21","39","None","Level","41","63","Park","Level","2"
"5","34","red","frc1311","frc5293","frc8080","80","9","24","None","Level","16","36","Park","Level","1"
"6","43","blue","frc6712","frc8080","frc1287","96","18","21","None","Level","44","50","None","NotLevel","1"
"7","57","blue","frc3635","frc2815","frc8080","96","12","33","None","Level","21","43","Park","Level","1"
"8","63","red","frc4701","frc2415","frc8080","66","9","15","None","Level","27","41","Park","Level","0"
"9","71","red","frc3815","frc1648","frc8080","49","13","28","None","Level","7","21","Docked","Level","0"
"10","76","red","frc1414","frc8080","frc8137","111","6","24","None","Level","37","57","Park","Level","1"
"11","85","blue","frc6366","frc8080","frc8865","64","18","21","None","NotLevel","16","38","Park","Level","0"
"12","93","red","frc4509","frc8080","frc4516","116","12","26","None","NotLevel","43","65","Park","Level","4"
