"","team","opr","auto_opr","auto_game_piece_opr","auto_dock","auto_level","teleop_opr","teleop_game_piece_opr","tele_dock","tele_balance","auto_teleop_opr_ratio","rpcr"
"1","frc116",22.9999791583686,8.06531558961832,1.00637992392606,"0.333333333333333","0.0833333333333333",12.8963546698301,2.90150380596247,"0.666666666666667","0.416666666666667",0.350666212959751,"0.239665166271563"
"2","frc1389",37.0248942948375,12.0437006956436,1.04997543675302,"0.666666666666667","0.666666666666667",18.17363243882,4.30100819393836,"0.833333333333333","0.583333333333333",0.325286565296768,"0.964618538247725"
"3","frc1418",21.2257212690072,13.4328563948581,1.10647679974362,"0.583333333333333","0.583333333333333",6.85784461859604,2.23148436238964,"0.25","0.0833333333333333",0.632857476295618,"0.193593929583887"
"4","frc1719",17.6213562465258,8.65676478750109,1.17995899672882,"0.0833333333333333","0.0833333333333333",6.21374832382867,2.42101715870465,"0.583333333333333","0.333333333333333",0.491265522720923,"0.389206776862275"
"5","frc1727",63.0583752928711,11.7993815414118,1.31767195474876,"0.166666666666667","0.0833333333333333",35.3892708109759,7.03072111449601,"0.75","0.583333333333333",0.187118388106421,"1.42974779809623"
"6","frc1885",17.9876448731257,5.01107115540587,0.795513817195999,"0.0833333333333333","0.0833333333333333",7.34057134395806,2.41500718524349,"0.583333333333333","0.416666666666667",0.27858406093466,"0.334163263088672"
"7","frc1915",29.2034464720374,1.71428764979185,0.180025200366003,"0","0",14.1384334861954,1.6102227684491,"0.583333333333333","0.583333333333333",0.0587015526209654,"0.683068898630941"
"8","frc2186",20.452064823767,8.44113620704231,0.0156282265304213,"0.416666666666667","0.25",10.796021758329,1.20818852278387,"0.583333333333333","0.5",0.412727823805497,"0.944710051530115"
"9","frc2421",18.9618454339748,3.88780460424743,0.366425303926563,"0","0",12.9814184776397,1.60505372979528,"0.833333333333333","0.583333333333333",0.205033028973091,"0.473462793961445"
"10","frc2849",12.1591689025848,7.74896538063717,0.590989988289497,"0.416666666666667","0.416666666666667",5.27598070760568,1.79605710199133,"0.583333333333333","0.416666666666667",0.637293999509283,"-0.186064113075233"
"11","frc2961",14.7177565797338,3.39765851157061,-0.0531925566431565,"0","0",6.39116466132997,1.37494867293023,"0.0833333333333333","0.0833333333333333",0.230854376016053,"0.236972025050006"
"12","frc2988",15.3386915506566,5.47669957916199,0.56851160920201,"0","0",5.15817357542707,2.32913458682976,"0.5","0.25",0.357051288310674,"0.254761212397913"
"13","frc3361",21.0396674009505,9.3352290791601,1.04621168586627,"0","0",8.84044457158037,2.82245875512414,"0.166666666666667","0",0.443696608946317,"-0.4136875829371"
"14","frc3373",33.3858436669446,4.61127252406399,0.714193267366395,"0","0",27.2909905187582,3.71749503961403,"0.916666666666667","0.916666666666667",0.138120592969457,"0.929734691587319"
"15","frc339",20.1982245994077,3.83505366781463,-0.199982101084217,"0","0",12.5039845092875,2.33345253314317,"0.583333333333333","0.583333333333333",0.189870829930622,"0.644251769764365"
