"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","1","blue","frc2960","frc5460","frc302","175","21","42","None","Level","71","93","Docked","Level","4"
"2","10","red","frc5167","frc2771","frc5460","108","24","39","None","Level","32","54","Park","Level","3"
"3","15","red","frc5460","frc4362","frc3620","151","21","42","None","Level","62","84","Park","Level","4"
"4","25","blue","frc503","frc6753","frc5460","154","21","39","None","Level","61","75","Docked","NotLevel","3"
"5","34","blue","frc5460","frc7782","frc6078","78","6","21","None","Level","25","47","Park","Level","1"
"6","40","red","frc5460","frc4453","frc3767","141","18","36","None","Level","50","80","None","Level","2"
"7","45","red","frc8382","frc5460","frc7211","139","18","36","Docked","Level","53","73","Park","Level","2"
"8","51","blue","frc5460","frc5603","frc5926","125","22","43","None","Level","40","62","Park","Level","4"
"9","60","blue","frc7250","frc862","frc5460","116","15","36","None","Level","52","60","Docked","NotLevel","1"
"10","65","red","frc1023","frc2611","frc5460","113","18","39","None","Level","46","54","Park","NotLevel","3"
"11","72","red","frc308","frc5460","frc5534","119","18","32","Docked","NotLevel","52","62","Park","NotLevel","3"
"12","78","red","frc1025","frc5460","frc548","155","21","39","None","Level","64","86","Docked","Level","4"
