"","team","opr","auto_opr","teleop_opr","auto_opr_ratio","auto_gpc_opr","tele_gpc_opr","rp_opr"
"1","frc6829",60.376835116106,15.4410037525456,30.6332767759678,0.255743841538766,0.960658325630807,6.83984940087657,1.81540272800295
"2","frc6919",59.6564862451061,16.2475998004759,25.5309836098274,0.272352611143081,1.12200037030583,7.38624923280935,1.68329135647033
"3","frc1261",54.4725123678761,16.4179264483652,27.6612090089041,0.301398370199779,0.887042090786282,5.06196082207504,1.67967674060614
"4","frc1771",52.2565640374395,15.7948891967708,24.9169071502017,0.30225655834269,1.61584400491226,6.26974396440421,1.66076354511017
"5","frc8736",44.4111923524845,11.6713437466808,21.7147330590794,0.262801855308168,0.911015041400314,4.81370233164681,1.10909869794252
"6","frc1746",39.1457012274796,11.1344748957765,20.0306865961863,0.284436720933237,1.13964987729337,5.53791312719781,1.14292039413463
"7","frc9260",39.0236993235443,10.246851146492,21.1615893317587,0.262580209567926,1.140445826978,4.53331651435289,0.580146066696563
"8","frc1414",38.5128809376669,11.0432846475228,17.9687993428751,0.286742626847271,0.657944950671901,4.61253309505784,1.04691780617203
"9","frc2415",29.4359012681593,9.07367791594274,12.6364830898692,0.308252084190732,0.787941085677299,3.70314285880646,0.173819585147038
"10","frc5130",28.1015390413673,7.68261541142619,14.2990522663464,0.27338771019327,1.06687103427899,3.45890990226189,0.382069169820563
"11","frc6925",27.8797851491948,8.58568227901732,16.3060359659321,0.307953674430138,0.750269375126223,3.29136043492957,0.931022610400011
"12","frc3344",24.9526238548591,6.23036748817705,14.7765190928908,0.249687869476852,0.850562845004239,3.36418473239567,0.509699701622243
"13","frc4701",24.8401487305929,5.62717445170026,17.3355510814899,0.226535457284517,0.972635897566718,3.28273742129383,0.550239604453751
"14","frc3635",23.9437912781933,4.66026612493746,15.1837314351546,0.194633592934039,0.710558921848697,3.79291986036219,0.613788125315562
"15","frc1002",20.700483602548,3.82698715726643,12.7800823664238,0.184874287516422,0.644853194441657,2.80891172749415,-0.120842080500531
"16","frc4240",19.6894935918446,3.0054362976732,17.4592136158313,0.152641625019653,-0.0758924712233971,2.77236422805692,0.446883251945233
"17","frc5848",19.0893058659593,-1.44818612742767,13.8533684063541,-0.0758637394987805,0.134777875922056,1.65404785147341,-0.0639263944963702
"18","frc4112",17.0957831158646,3.03845663187113,13.2178288415926,0.177731351133689,0.494361465239778,1.50654215308818,0.0575311372696318
"19","frc3329",16.1015384459823,5.66628633256873,11.5852623681247,0.351909623516913,0.716207480665353,2.16458725365494,0.067042287094556
"20","frc6944",15.9667762463188,4.99043435921031,11.5856772032355,0.312551155112534,0.62618213452088,2.98825120441912,0.00071573410647871
"21","frc7470",14.3419127779644,3.21574242073499,11.231144951564,0.224219911982439,0.406390705499593,2.98021580945958,0.542543670306805
"22","frc5828",13.0105046329192,3.33092250490146,8.90758881260447,0.256017933114873,0.241180178129397,2.36792601305122,-0.0694242124149057
"23","frc9057",12.3717949064238,4.27175671703388,7.90415579634555,0.345281889115044,0.0971150322485869,2.18028667647339,0.23497763290864
"24","frc8849",12.2968260280373,-1.50668283971403,9.08415799367652,-0.122526157260315,-0.200422904715482,0.647172321666271,-0.0728869146126706
"25","frc5219",12.1086688251787,1.89983633940316,5.76951254985267,0.156898860381139,0.142443066519491,0.0139826876142554,0.526729592557266
"26","frc7104",10.494004608177,1.27177441631769,6.57136489115699,0.121190571550418,0.489800644553195,1.57126790044807,-0.347134430860054
"27","frc4730",9.99936167065423,2.56932932847517,6.82207075428811,0.256949334677587,-0.0690602879035996,2.58679843250615,-0.0653301154897038
"28","frc5651",8.0537422634245,1.49609937519249,6.29868053837172,0.185764496336929,0.839226428348327,1.09328178419209,0.0646060518639512
"29","frc7676",4.50347582196704,-0.318683552670913,3.85766643742809,-0.0707639088715518,-0.0606021897267559,0.29917359126545,0.086325325093843
